stage,method,endpoint,mode,seconds,recorded
tdi_multitask,xgb_multitask,fold17,full,1.3,2026-09-15
tdi_multitask,tabicl_singletask,fold17,full,15.7,2026-09-15
tdi_multitask,tabicl_multitask,fold17,full,14.9,2026-09-15
tdi_multitask,tabpfn_singletask,fold17,full,21.0,2026-09-15
tdi_multitask,tabpfn_multitask,fold17,full,22.5,2026-09-15
tdi_multitask,chemprop_singletask,fold17,full,75.9,2026-09-15
tdi_multitask,chemprop_multitask,fold17,full,68.5,2026-09-15
tdi_multitask,majority_singletask,fold17,full,0.2,2026-09-15
tdi_multitask,lgbm_singletask,fold18,full,5.4,2026-09-15
tdi_multitask,lgbm_multitask,fold18,full,2.9,2026-09-15
tdi_multitask,xgb_singletask,fold18,full,2.0,2026-09-15
tdi_multitask,xgb_multitask,fold18,full,1.3,2026-09-15
tdi_multitask,tabicl_singletask,fold18,full,14.1,2026-09-15
tdi_multitask,tabicl_multitask,fold18,full,298.4,2026-09-15
tdi_multitask,tabpfn_singletask,fold18,full,21.7,2026-09-15
tdi_multitask,tabpfn_multitask,fold18,full,22.5,2026-09-15
tdi_multitask,chemprop_singletask,fold18,full,79.6,2026-09-15
tdi_multitask,chemprop_multitask,fold18,full,65.6,2026-09-15
tdi_multitask,majority_singletask,fold18,full,0.1,2026-09-15
tdi_multitask,lgbm_singletask,fold19,full,5.4,2026-09-15
tdi_multitask,lgbm_multitask,fold19,full,2.9,2026-09-15
tdi_multitask,xgb_singletask,fold19,full,2.0,2026-09-15
tdi_multitask,xgb_multitask,fold19,full,1.3,2026-09-15
tdi_multitask,tabicl_singletask,fold19,full,15.7,2026-09-15
tdi_multitask,tabicl_multitask,fold19,full,15.6,2026-09-15
tdi_multitask,tabpfn_singletask,fold19,full,21.4,2026-09-15
tdi_multitask,tabpfn_multitask,fold19,full,22.3,2026-09-15
tdi_multitask,chemprop_singletask,fold19,full,75.8,2026-09-15
tdi_multitask,chemprop_multitask,fold19,full,65.5,2026-09-15
tdi_multitask,majority_singletask,fold19,full,0.2,2026-09-15
tdi_multitask,lgbm_singletask,fold20,full,5.4,2026-09-15
tdi_multitask,lgbm_multitask,fold20,full,2.9,2026-09-15
tdi_multitask,xgb_singletask,fold20,full,2.0,2026-09-15
tdi_multitask,xgb_multitask,fold20,full,1.3,2026-09-15
tdi_multitask,tabicl_singletask,fold20,full,14.5,2026-09-15
tdi_multitask,tabicl_multitask,fold20,full,14.4,2026-09-15
tdi_multitask,tabpfn_singletask,fold20,full,21.6,2026-09-15
tdi_multitask,tabpfn_multitask,fold20,full,22.8,2026-09-15
tdi_multitask,chemprop_singletask,fold20,full,76.1,2026-09-15
tdi_multitask,chemprop_multitask,fold20,full,65.2,2026-09-15
tdi_multitask,majority_singletask,fold20,full,0.2,2026-09-15
tdi_multitask,lgbm_singletask,fold21,full,5.4,2026-09-15
tdi_multitask,lgbm_multitask,fold21,full,2.9,2026-09-15
tdi_multitask,xgb_singletask,fold21,full,2.0,2026-09-15
tdi_multitask,xgb_multitask,fold21,full,1.3,2026-09-15
