molecule_chembl_id,canonical_smiles,pchembl_value,standard_type,standard_relation,assay_type,assay_chembl_id,document_chembl_id
CHEMBL2114275,COc1oc2ccccc2c(=O)c1[C@H](CC(C)=O)c1ccccc1,4.54,Ki,=,A,CHEMBL661224,CHEMBL1133779
CHEMBL782,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,4.16,Ki,=,A,CHEMBL840930,CHEMBL1133779
CHEMBL2079628,CC[C@H](c1ccccc1)c1c(O)oc2ccccc2c1=O,6.30,Ki,=,A,CHEMBL661223,CHEMBL1133779
CHEMBL96685,[N-]=[N+]=Nc1ccc2oc(O)c(Cc3c(O)oc4ccc(N=[N+]=[N-])cc4c3=O)c(=O)c2c1,5.52,Ki,=,A,CHEMBL661223,CHEMBL1133779
CHEMBL2114277,CO[C@@]1(C)C[C@H](c2ccccc2)c2c(c3ccccc3oc2=O)O1,5.82,Ki,=,A,CHEMBL661223,CHEMBL1133779
CHEMBL321723,C#Cc1ccc(S(=O)(=O)NC(=O)NCC(C)C)cc1,4.32,Ki,=,A,CHEMBL840930,CHEMBL1133779
CHEMBL432386,Cc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,7.00,Ki,=,A,CHEMBL840930,CHEMBL1133779
CHEMBL2115266,C[C@@H](O)C[C@@H](c1ccccc1)c1c(O)oc2ccccc2c1=O,7.00,Ki,=,A,CHEMBL661223,CHEMBL1133779
CHEMBL94585,C#Cc1ccc(C2(c3ccccc3)NC(=O)NC2=O)cc1,4.75,Ki,=,A,CHEMBL840930,CHEMBL1133779
CHEMBL318439,C#Cc1ccc(S(=O)(=O)NC(=O)Nc2ccccc2)cc1,5.16,Ki,=,A,CHEMBL840930,CHEMBL1133779
CHEMBL2079628,CC[C@H](c1ccccc1)c1c(O)oc2ccccc2c1=O,4.75,Ki,=,A,CHEMBL661223,CHEMBL1133779
