molecule_chembl_id,canonical_smiles,pchembl_value,standard_type,standard_relation,assay_type,assay_chembl_id,document_chembl_id
CHEMBL170,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,4.82,Ki,=,A,CHEMBL758056,CHEMBL1126649
CHEMBL276809,c1ccc2c(c1)[n-]c1c3[n+](ccc12)CC1CCCCC1C3,5.01,Ki,=,A,CHEMBL729206,CHEMBL1126649
CHEMBL2079609,COC(=O)C1=CO[C@H](C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,7.77,Ki,=,A,CHEMBL729206,CHEMBL1126649
CHEMBL15238,CC1OC=C(CO)[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3CC12,5.96,Ki,=,A,CHEMBL729206,CHEMBL1126649
CHEMBL3349577,O=C(O)[C@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@H]1O,5.20,Ki,=,A,CHEMBL729206,CHEMBL1126649
CHEMBL31410,COC(=O)[C@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,7.10,Ki,=,A,CHEMBL729206,CHEMBL1126649
CHEMBL498734,COC(=O)C1=CO[C@@H](C)[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,5.96,Ki,=,A,CHEMBL729206,CHEMBL1126649
CHEMBL269538,COc1ccc2c(c1)[nH]c1c(C)nccc12,4.30,Ki,=,A,CHEMBL729206,CHEMBL1126649
CHEMBL428695,CCC1CN2CCC1CC2C(O)c1ccnc2ccccc12,5.55,Ki,=,A,CHEMBL729203,CHEMBL1126649
CHEMBL428695,CCC1CN2CCC1CC2C(O)c1ccnc2ccccc12,5.50,Ki,=,A,CHEMBL729205,CHEMBL1126649
CHEMBL428695,CCC1CN2CCC1CC2C(O)c1ccnc2ccccc12,5.80,Ki,=,A,CHEMBL729204,CHEMBL1126649
CHEMBL1294,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,7.10,Ki,=,A,CHEMBL729206,CHEMBL1126649
CHEMBL1294,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,7.40,Ki,=,A,CHEMBL729201,CHEMBL1126649
CHEMBL1294,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,7.37,Ki,=,A,CHEMBL758056,CHEMBL1126649
CHEMBL1294,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,7.22,Ki,=,A,CHEMBL754768,CHEMBL1126649
