method,endpoint,potency_bin,mean_bias,mae,mean_true,n
ridge,CYP2C9_pIC50_direct_inhibition,bin3,-0.37224322132171644,0.6697688404478508,5.08405748,1150
ridge,CYP2C9_pIC50_direct_inhibition,bin4,-0.6757858963878858,0.8388478440560665,5.719638557881773,1015
ridge,CYP2D6_pIC50_direct_inhibition,bin0,1.8505450123135962,1.87718360523438,2.5431113255431037,580
ridge,CYP2D6_pIC50_direct_inhibition,bin1,0.2799552711816226,0.768302185069044,4.310292216896104,1540
ridge,CYP2D6_pIC50_direct_inhibition,bin2,0.0718739025448484,0.7479522379911043,4.641717922861364,2200
ridge,CYP2D6_pIC50_direct_inhibition,bin3,-0.2524449463921907,0.7438952438912768,5.099903659706081,1480
ridge,CYP2D6_pIC50_direct_inhibition,bin4,-0.800912440887957,1.0280864072262832,5.910856875153153,1665
ridge,CYP3A4_pIC50_direct_inhibition,bin0,0.5398199912930698,0.9041469831760479,2.8516247102080783,4085
ridge,CYP3A4_pIC50_direct_inhibition,bin1,-0.03278316500212822,0.7530347961728345,4.152234412289827,2605
ridge,CYP3A4_pIC50_direct_inhibition,bin2,-0.36948718622965915,0.7841930414275297,4.675880235036082,1940
ridge,CYP3A4_pIC50_direct_inhibition,bin3,-0.4274090423542663,0.8141214883057608,5.079501119289326,1780
ridge,CYP3A4_pIC50_direct_inhibition,bin4,-0.6070025084391131,0.9022054256660954,5.725896021264822,1265
xgb,CYP1A2_pIC50_direct_inhibition,bin0,1.7137462264632262,1.719953924964207,2.949924486278075,935
xgb,CYP1A2_pIC50_direct_inhibition,bin1,0.5772495108359573,0.6974183636138378,4.134805832133803,710
xgb,CYP1A2_pIC50_direct_inhibition,bin2,0.06405353650956896,0.446520703890037,4.706432497777778,720
xgb,CYP1A2_pIC50_direct_inhibition,bin3,-0.1505840823253953,0.4183527814476221,5.105330794340426,2115
xgb,CYP1A2_pIC50_direct_inhibition,bin4,-0.6892995436816662,0.7392971403248428,5.854612148437985,2580
xgb,CYP2C9_pIC50_direct_inhibition,bin0,1.089995586181235,1.1035125052355987,3.281675393756757,925
xgb,CYP2C9_pIC50_direct_inhibition,bin1,0.34949011203893415,0.4481887842893457,4.175897671497006,1670
xgb,CYP2C9_pIC50_direct_inhibition,bin2,-0.0944620508923065,0.3080459815314447,4.666572401246246,1665
xgb,CYP2C9_pIC50_direct_inhibition,bin3,-0.4201819279469631,0.4757285830735171,5.08405748,1150
xgb,CYP2C9_pIC50_direct_inhibition,bin4,-0.9174768974289917,0.9252268111494264,5.719638557881773,1015
xgb,CYP2D6_pIC50_direct_inhibition,bin0,1.9957249033044,1.9989591603082866,2.5431113255431037,580
xgb,CYP2D6_pIC50_direct_inhibition,bin1,0.36039364505059657,0.45561801945800706,4.310292216896104,1540
xgb,CYP2D6_pIC50_direct_inhibition,bin2,0.12034803178049872,0.3642608915986972,4.641717922861364,2200
xgb,CYP2D6_pIC50_direct_inhibition,bin3,-0.2925677777769412,0.43102591972875615,5.099903659706081,1480
xgb,CYP2D6_pIC50_direct_inhibition,bin4,-0.9492556765386145,0.9654374304478059,5.910856875153153,1665
xgb,CYP3A4_pIC50_direct_inhibition,bin0,0.8551811148211057,0.9145542395633953,2.8516247102080783,4085
xgb,CYP3A4_pIC50_direct_inhibition,bin1,-0.048976711208641006,0.40341002273429827,4.152234412289827,2605
xgb,CYP3A4_pIC50_direct_inhibition,bin2,-0.4733717046159561,0.5669425783457254,4.675880235036082,1940
